2026-02-03 05:35:07.752 | INFO     | agents.lazy_agent:__init__:50 - LazyAgent agent_0 configured (model not loaded yet)
2026-02-03 05:40:51.182 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_0...
2026-02-03 05:40:51.182 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 05:41:02.298 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_0: load=2106ms, infer=8564ms, output=cooperate", "reason": "Since all previous actions ...
2026-02-03 05:41:02.298 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_1...
2026-02-03 05:41:02.298 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 05:41:13.663 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_1: load=2198ms, infer=8710ms, output=cooperate", "reason": "Since all previous agents h...
2026-02-03 05:41:13.663 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_2...
2026-02-03 05:41:13.663 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 05:41:24.573 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_2: load=2056ms, infer=8414ms, output=cooperate", "reason": "Since both previous partici...
2026-02-03 05:41:24.573 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_0...
2026-02-03 05:41:24.573 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 05:41:36.351 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_0: load=2060ms, infer=9256ms, output=cooperate", "reason": "Since all previous actions ...
2026-02-03 05:41:36.351 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_1...
2026-02-03 05:41:36.351 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 05:41:47.725 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_1: load=2248ms, infer=8681ms, output=cooperate", "reason": "Since all previous agents h...
2026-02-03 05:41:47.726 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_2...
2026-02-03 05:41:47.726 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 05:42:52.542 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_2: load=2069ms, infer=62312ms, output=cooperate", "reason": "Since the previous round al...
2026-02-03 05:42:52.543 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_0...
2026-02-03 05:42:52.543 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 05:44:01.885 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_0: load=2143ms, infer=66678ms, output=cooperate", "reason": "Since all previous particip...
2026-02-03 05:44:01.886 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_1...
2026-02-03 05:44:01.886 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 05:44:16.137 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_1: load=2185ms, infer=11589ms, output=cooperate", "reason": "Since all previous actions ...
2026-02-03 05:44:16.138 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_2...
2026-02-03 05:44:16.138 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 05:44:29.419 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_2: load=2414ms, infer=10398ms, output=cooperate", "reason": "Since both previous partici...
2026-02-03 05:44:29.420 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_0...
2026-02-03 05:44:29.420 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 05:44:42.408 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_0: load=2437ms, infer=10118ms, output=cooperate", "reason": "Since all previous particip...
2026-02-03 05:44:42.408 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_1...
2026-02-03 05:44:42.408 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 05:44:57.365 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_1: load=2366ms, infer=12129ms, output=defend", "reason": "Although the current world sta...
2026-02-03 05:44:57.365 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_2...
2026-02-03 05:44:57.365 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 05:45:10.146 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_2: load=2172ms, infer=10140ms, output=cooperate", "reason": "Since the previous round, b...
2026-02-03 05:45:10.146 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_0...
2026-02-03 05:45:10.146 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 05:45:21.451 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_0: load=2035ms, infer=8819ms, output=cooperate", "reason": "Since all previous particip...
2026-02-03 05:45:21.452 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_1...
2026-02-03 05:45:21.452 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 05:45:33.723 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_1: load=2064ms, infer=9741ms, output=cooperate", "reason": "Since all previous actions ...
2026-02-03 05:45:33.723 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_2...
2026-02-03 05:45:33.724 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 05:45:47.236 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_2: load=2053ms, infer=11004ms, output=cooperate", "reason": "Since the previous round sa...
2026-02-03 05:45:47.236 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_0...
2026-02-03 05:45:47.236 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 05:46:06.100 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_0: load=2056ms, infer=16338ms, output=cooperate", "reason": "Since all previous particip...
2026-02-03 05:46:06.101 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_1...
2026-02-03 05:46:06.101 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 05:47:15.273 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_1: load=2143ms, infer=66572ms, output=cooperate", "reason": "Since all other agents coop...
2026-02-03 05:47:15.274 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_2...
2026-02-03 05:47:15.274 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 05:48:15.435 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_2: load=2191ms, infer=57514ms, output=cooperate", "reason": "Since the previous round sa...
2026-02-03 05:48:15.435 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_0...
2026-02-03 05:48:15.435 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 05:48:49.680 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_0: load=2199ms, infer=31584ms, output=cooperate", "reason": "Since the previous round wa...
2026-02-03 05:48:49.680 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_1...
2026-02-03 05:48:49.680 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 05:49:00.881 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_1: load=2114ms, infer=8602ms, output=cooperate", "reason": "Since all previous actions ...
2026-02-03 05:49:00.881 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_2...
2026-02-03 05:49:00.881 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 05:49:11.798 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_2: load=2019ms, infer=8439ms, output=cooperate", "reason": "Since the previous rounds s...
2026-02-03 05:49:11.798 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_0...
2026-02-03 05:49:11.798 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 05:49:27.272 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_0: load=2053ms, infer=12972ms, output=cooperate", "reason": "Since all previous actions ...
2026-02-03 05:49:27.273 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_1...
2026-02-03 05:49:27.273 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 05:50:28.018 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_1: load=2023ms, infer=58281ms, output=cooperate", "reason": "Given that all previous act...
2026-02-03 05:50:28.019 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_2...
2026-02-03 05:50:28.019 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 05:50:38.354 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_2: load=2034ms, infer=7854ms, output=cooperate", "reason": "Since the previous rounds w...
2026-02-03 05:50:38.354 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_0...
2026-02-03 05:50:38.354 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 05:51:41.745 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_0: load=2075ms, infer=60862ms, output=cooperate", "reason": "Since all previous particip...
2026-02-03 05:51:41.745 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_1...
2026-02-03 05:51:41.745 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 05:51:59.155 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_1: load=2043ms, infer=14914ms, output=cooperate", "reason": "Since all other agents coop...
2026-02-03 05:51:59.155 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_2...
2026-02-03 05:51:59.155 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 05:52:09.761 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_2: load=2110ms, infer=8037ms, output=cooperate", "reason": "Since the previous rounds w...
2026-02-03 05:52:09.762 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_0...
2026-02-03 05:52:09.762 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 05:52:21.350 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_0: load=2047ms, infer=9102ms, output=defect", "reason": "Based on the previous round wh...
2026-02-03 05:52:21.350 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_1...
2026-02-03 05:52:21.350 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 05:53:24.673 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_1: load=2045ms, infer=60812ms, output=defect", "reason": "Based on the previous round wh...
2026-02-03 05:53:24.673 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_2...
2026-02-03 05:53:24.673 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 05:54:10.368 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_2: load=2017ms, infer=43212ms, output=defect", "reason": "Based on the previous actions,...
2026-02-03 05:54:10.368 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_0...
2026-02-03 05:54:10.369 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 05:54:31.263 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_0: load=2166ms, infer=18285ms, output=defect", "reason": "Based on the previous round wh...
2026-02-03 05:54:31.263 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_1...
2026-02-03 05:54:31.263 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 05:54:45.902 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_1: load=2058ms, infer=12117ms, output=defect", "reason": "Given that both agent_0 and ag...
2026-02-03 05:54:45.902 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_2...
2026-02-03 05:54:45.902 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 05:54:59.788 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_2: load=2290ms, infer=11128ms, output=defect", "reason": "Based on the previous round wh...
2026-02-03 05:54:59.788 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_0...
2026-02-03 05:54:59.788 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 05:55:14.736 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_0: load=2361ms, infer=12111ms, output=cooperate", "reason": "Despite the previous defect...
2026-02-03 05:55:14.736 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_1...
2026-02-03 05:55:14.736 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 05:55:29.552 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_1: load=2354ms, infer=12024ms, output=defect", "reason": "Given that agent_2 has previou...
2026-02-03 05:55:29.553 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_2...
2026-02-03 05:55:29.553 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 05:55:52.693 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_2: load=2283ms, infer=20413ms, output=defect", "reason": "Since the previous round, both...
2026-02-03 05:55:52.694 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_0...
2026-02-03 05:55:52.694 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 05:56:56.257 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_0: load=2315ms, infer=60810ms, output=defect", "reason": "Given that agent_1 and agent_2...
2026-02-03 05:56:56.257 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_1...
2026-02-03 05:56:56.257 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 05:57:59.247 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_1: load=2327ms, infer=60224ms, output=defect", "reason": "Based on the previous round wh...
2026-02-03 05:57:59.247 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_2...
2026-02-03 05:57:59.247 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 05:58:12.770 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_2: load=2295ms, infer=10779ms, output=defect", "reason": "Based on the previous actions,...
2026-02-03 05:58:12.770 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_0...
2026-02-03 05:58:12.771 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 05:58:32.663 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_0: load=2328ms, infer=17120ms, output=defect", "reason": "Given the previous round where...
2026-02-03 05:58:32.664 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_1...
2026-02-03 05:58:32.664 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 05:58:52.096 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_1: load=2277ms, infer=16643ms, output=defect", "reason": "Given that both agent_0 and ag...
2026-02-03 05:58:52.096 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_2...
2026-02-03 05:58:52.097 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 05:59:21.604 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_2: load=2312ms, infer=26747ms, output=defect", "reason": "Based on the current state and...
2026-02-03 05:59:21.604 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_0...
2026-02-03 05:59:21.604 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 05:59:34.004 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_0: load=2301ms, infer=9613ms, output=defect", "reason": "Given the previous rounds wher...
2026-02-03 05:59:34.004 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_1...
2026-02-03 05:59:34.004 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 05:59:54.098 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_1: load=2284ms, infer=17341ms, output=defect", "reason": "Since all other agents defecte...
2026-02-03 05:59:54.098 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_2...
2026-02-03 05:59:54.098 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 06:00:12.124 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_2: load=2383ms, infer=15208ms, output=defect", "reason": "Given that both other agents h...
2026-02-03 06:00:12.125 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_0...
2026-02-03 06:00:12.125 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 06:00:24.992 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_0: load=2331ms, infer=10055ms, output=defect", "reason": "Previous rounds show that all ...
2026-02-03 06:00:24.992 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_1...
2026-02-03 06:00:24.992 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 06:00:45.528 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_1: load=2279ms, infer=17805ms, output=defect", "reason": "Since all other agents defecte...
2026-02-03 06:00:45.528 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_2...
2026-02-03 06:00:45.528 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 06:01:06.726 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_2: load=2326ms, infer=18427ms, output=defect", "reason": "Given that both other agents h...
2026-02-03 06:01:06.726 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_0...
2026-02-03 06:01:06.726 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 06:02:09.569 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_0: load=2294ms, infer=60087ms, output=defect", "reason": "Given that both agent_1 and ag...
2026-02-03 06:02:09.570 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_1...
2026-02-03 06:02:09.570 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 06:03:13.123 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_1: load=2348ms, infer=60719ms, output=defect", "reason": "Based on the previous round wh...
2026-02-03 06:03:13.124 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_2...
2026-02-03 06:03:13.124 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 06:04:21.609 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_2: load=2455ms, infer=65554ms, output=defect", "reason": "Based on the previous round wh...
2026-02-03 06:04:21.609 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_0...
2026-02-03 06:04:21.609 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 06:05:14.782 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_0: load=2126ms, infer=50594ms, output=cooperate", "reason": "Since all previous particip...
2026-02-03 06:05:14.782 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_1...
2026-02-03 06:05:14.782 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 06:05:31.756 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_1: load=2310ms, infer=14194ms, output=cooperate", "reason": "Since all previous agents h...
2026-02-03 06:05:31.756 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_2...
2026-02-03 06:05:31.756 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 06:06:22.071 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_2: load=2275ms, infer=47603ms, output=cooperate", "reason": "Since the previous rounds w...
2026-02-03 06:06:22.071 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_0...
2026-02-03 06:06:22.071 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 06:06:35.207 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_0: load=2303ms, infer=10367ms, output=cooperate", "reason": "Since the previous round sa...
2026-02-03 06:06:35.207 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_1...
2026-02-03 06:06:35.207 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 06:06:48.930 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_1: load=2356ms, infer=10896ms, output=cooperate", "reason": "Since all previous agents h...
2026-02-03 06:06:48.930 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_2...
2026-02-03 06:06:48.930 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 06:06:59.358 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_2: load=2291ms, infer=7698ms, output=cooperate", "reason": "Since the previous rounds w...
2026-02-03 06:06:59.359 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_0...
2026-02-03 06:06:59.359 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 06:07:11.048 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_0: load=2317ms, infer=8928ms, output=cooperate", "reason": "Since the previous round wa...
2026-02-03 06:07:11.049 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_1...
2026-02-03 06:07:11.049 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 06:07:22.725 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_1: load=2320ms, infer=8880ms, output=cooperate", "reason": "Since all previous agents h...
